2026-01-27 01:04:24,644 | INFO | etl.pipeline | Starting extract stage
2026-01-27 01:04:24,831 | INFO | etl.pipeline | Extract completed
2026-01-27 01:04:24,832 | INFO | etl.pipeline | Starting validation stage
2026-01-27 01:04:24,844 | WARNING | etl.dedup | Customer deduplication applied: 21 duplicate records rejected across 16 customer_ids
2026-01-27 01:04:24,845 | WARNING | etl.dedup | Saved 21 duplicate customer records to rejected_data/customer_duplicates/rejected_customer_duplicates_20260127_060424.csv
2026-01-27 01:04:24,851 | WARNING | etl.product_dedup | Product deduplication applied for product_id 5: 1 rows rejected
2026-01-27 01:04:24,853 | WARNING | etl.product_dedup | Product deduplication applied for product_id 6: 2 rows rejected
2026-01-27 01:04:24,856 | ERROR | etl.product_dedup | Rejected product_id 11: no valid product_name
2026-01-27 01:04:24,857 | ERROR | etl.product_dedup | Rejected product_id 13: no valid product_name
2026-01-27 01:04:24,857 | ERROR | etl.product_dedup | Rejected product_id 14: no valid product_name
2026-01-27 01:04:24,861 | ERROR | etl.product_dedup | Rejected product_id 19: no valid product_name
2026-01-27 01:04:24,862 | WARNING | etl.product_dedup | Product deduplication applied for product_id 20: 1 rows rejected
2026-01-27 01:04:24,862 | ERROR | etl.product_dedup | Rejected product_id 21: no valid product_name
2026-01-27 01:04:24,869 | ERROR | etl.product_dedup | Rejected product_id 29: no valid product_name
2026-01-27 01:04:24,870 | WARNING | etl.product_dedup | Product deduplication applied for product_id 30: 1 rows rejected
2026-01-27 01:04:24,872 | ERROR | etl.product_dedup | Rejected product_id 33: no valid product_name
2026-01-27 01:04:24,873 | WARNING | etl.product_dedup | Product deduplication applied for product_id 34: 1 rows rejected
2026-01-27 01:04:24,873 | ERROR | etl.product_dedup | Rejected product_id 35: no valid product_name
2026-01-27 01:04:24,876 | WARNING | etl.product_dedup | Product deduplication applied for product_id 38: 1 rows rejected
2026-01-27 01:04:24,878 | ERROR | etl.product_dedup | Rejected product_id 41: no valid product_name
2026-01-27 01:04:24,879 | ERROR | etl.product_dedup | Rejected product_id 43: no valid product_name
2026-01-27 01:04:24,880 | WARNING | etl.product_dedup | Product deduplication applied for product_id 44: 1 rows rejected
2026-01-27 01:04:24,881 | ERROR | etl.product_dedup | Rejected product_id 46: no valid product_name
2026-01-27 01:04:24,890 | ERROR | etl.product_dedup | Rejected product_id 57: no valid product_name
2026-01-27 01:04:24,891 | ERROR | etl.product_dedup | Rejected product_id 59: no valid product_name
2026-01-27 01:04:24,893 | WARNING | etl.product_dedup | Product deduplication applied for product_id 61: 1 rows rejected
2026-01-27 01:04:24,893 | ERROR | etl.product_dedup | Rejected product_id 62: no valid product_name
2026-01-27 01:04:24,894 | WARNING | etl.product_dedup | Product deduplication applied for product_id 63: 1 rows rejected
