transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount
1,736,1130,2024-05-17,0.0,,0.0
2,1172,711,2024-06-13,7.0,201.33,0.0
3,241,49,2025-08-20,5.0,42.14,22.18
4,564,887,2025-08-10,5.0,118.86,0.0
5,892,368,2024-02-17,6.0,332.65,0.0
6,344,1062,2024-12-13,,-20.0,0.0
7,65,588,2024-09-07,1.0,,0.0
8,614,191,2024-09-21,5.0,374.21,4.13
9,987,496,2024-05-09,3.0,236.96,0.0
10,71,1188,2024-08-11,7.0,290.72,0.0
11,38,1153,2024-10-30,7.0,266.06,0.0
12,675,550,2025-09-13,-3.0,381.17,0.0
13,1109,318,2025-10-07,4.0,418.77,0.0
14,896,209,2025-03-24,7.0,249.23,0.0
15,784,522,2025-06-17,1.0,359.3,0.0
16,802,366,2023-99-99,4.0,70.98,0.0
17,655,836,2025-11-02,6.0,7.13,0.0
18,485,145,2024-06-14,7.0,-20.0,0.0
19,1010,339,2024-08-30,2.0,392.74,0.0
20,833,128,2025-11-15,9.0,174.88,0.0
21,788,175,2023-99-99,2.0,199.73,0.0
22,862,148,2024-12-30,2.0,233.64,0.0
23,408,213,2025-02-19,10.0,70.32,0.0
24,1128,1067,2025-04-17,4.0,63.81,0.0
25,484,102,2024-06-14,8.0,120.02,0.0
26,395,499,2025-09-01,6.0,386.61,25.93
27,430,717,2025-11-29,9.0,282.12,36.92
28,162,46,2025-02-04,3.0,324.88,0.0
29,1000,806,2023-99-99,5.0,,0.0
30,58,372,2025-12-04,0.0,9.53,0.0
31,184,566,2024-09-18,1.0,484.93,0.0
32,821,187,2024-09-07,7.0,133.62,0.0
33,1025,1037,2025-09-30,1.0,238.07,0.0
34,854,575,2025-06-14,9.0,161.36,0.0
35,109,790,2025-04-12,7.0,411.81,0.0
36,50,125,2025-07-08,5.0,118.55,15.18
37,669,835,2024-05-13,10.0,458.71,0.0
38,695,699,2023-99-99,9.0,73.38,0.0
39,854,982,2025-05-26,3.0,346.16,41.97
40,697,111,2024-05-31,4.0,395.04,0.0
41,1151,249,2025-11-26,7.0,0.0,0.0
42,566,492,2025-08-04,5.0,173.84,0.0
43,730,135,2025-05-05,3.0,59.05,21.14
26,958,596,2025-12-18,3.0,139.4,0.0
45,425,710,2025-08-23,3.0,465.14,35.48
46,725,1177,2025-06-13,4.0,374.01,0.0
47,243,307,2025-02-19,9.0,145.26,0.0
48,1043,609,2024-06-26,1.0,0.0,0.0
49,814,16,2024-05-10,-3.0,55.32,2.4
50,584,1077,2025-11-10,5.0,55.2,0.0
51,960,402,2024-08-01,1.0,135.73,0.0
52,400,1105,2024-05-28,8.0,323.54,0.0
53,908,66,2025-04-13,5.0,201.99,0.0
54,743,859,2025-01-29,9.0,104.0,32.71
55,620,40,2025-10-12,-3.0,46.39,0.0
56,492,738,2024-04-30,7.0,124.17,0.0
57,933,763,2025-11-13,0.0,261.9,0.0
58,820,217,2024-05-05,-3.0,27.75,0.0
59,1180,1093,2024-04-03,1.0,143.32,25.33
60,513,491,2025-12-23,7.0,25.05,0.0
61,742,155,2025-03-17,8.0,405.55,0.0
62,505,162,2024-02-06,8.0,256.15,0.0
63,175,564,2024-05-11,2.0,274.59,0.0
64,826,569,2025-09-21,2.0,423.48,0.0
65,832,1169,2023-99-99,4.0,400.83,0.0
66,369,1067,2025-08-24,5.0,24.62,0.0
67,531,101,2025-05-27,7.0,472.49,0.0
68,422,943,2025-07-08,5.0,472.14,0.0
69,1041,248,2024-09-22,7.0,243.43,19.32
70,703,818,2024-12-15,4.0,200.8,0.0
71,1112,584,2023-99-99,5.0,397.36,0.0
72,151,631,2024-06-22,10.0,207.1,0.0
73,748,766,2025-10-09,10.0,440.79,0.0
74,1026,52,2025-09-01,7.0,235.72,0.0
75,23,531,2023-99-99,8.0,413.64,0.0
76,292,449,2026-01-12,9.0,25.04,19.15
77,1178,398,2025-04-22,3.0,412.33,0.0
78,511,993,2025-03-13,9.0,347.63,0.0
79,289,613,2024-03-14,9.0,144.42,0.0
80,60,200,2025-10-28,-3.0,94.97,0.0
81,3,258,2024-10-04,8.0,452.2,0.0
82,310,96,2025-03-15,7.0,205.04,0.0
83,966,532,2024-03-17,1.0,63.94,0.0
84,426,900,2023-99-99,4.0,398.84,0.0
85,117,595,2025-11-28,7.0,125.7,0.0
86,179,156,2024-04-17,6.0,197.45,16.96
87,705,1022,2024-02-11,8.0,381.67,1.61
88,533,688,2025-12-06,2.0,56.95,0.0
89,129,915,2024-09-28,-3.0,0.0,0.0
90,571,370,2025-04-24,10.0,28.87,0.0
91,13,39,2024-02-01,0.0,236.66,0.0
92,802,849,2023-99-99,8.0,93.89,0.0
93,297,415,2026-01-06,8.0,376.33,0.0
94,893,989,2024-03-21,6.0,6.12,0.0
95,989,877,2024-12-26,-3.0,48.53,1.31
96,1178,212,2025-02-10,5.0,376.29,0.0
97,976,851,2024-08-31,,392.66,27.93
98,344,817,2024-02-23,6.0,14.37,0.0
99,64,1106,2025-06-25,4.0,102.2,0.0
100,349,788,2024-07-07,2.0,298.7,0.0
101,701,887,2024-10-25,7.0,238.47,0.0
102,1075,41,2024-05-29,9.0,234.95,0.0
103,706,994,2024-11-19,8.0,108.15,0.0
104,477,456,2024-09-09,1.0,188.83,39.09
105,761,51,2025-05-12,9.0,63.51,0.0
106,1060,131,2024-07-26,2.0,386.35,0.0
107,1149,760,2025-10-02,10.0,453.76,0.0
108,1117,71,2025-09-05,8.0,33.0,0.0
109,51,176,2024-02-18,3.0,189.49,0.0
110,1019,472,2025-04-28,6.0,427.54,0.0
111,1140,1015,2024-09-17,4.0,42.17,0.0
112,570,599,2024-03-04,-3.0,158.22,0.0
113,1064,435,2025-10-30,6.0,251.28,41.37
114,584,720,2025-02-07,9.0,0.0,0.0
115,367,32,2023-99-99,1.0,334.48,0.0
116,323,18,2025-02-11,3.0,107.18,26.3
187,1047,756,2025-11-06,6.0,480.57,12.08
118,68,1090,2025-01-23,6.0,273.17,0.0
119,1134,3,2023-99-99,,170.57,0.0
120,822,640,2025-01-14,9.0,186.97,0.0
121,141,849,2025-09-17,1.0,,0.0
