transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount,ingest_date
16,802,366,,4,70.98,0.0,2026-01-26 17:43:19.366996
21,788,175,,2,199.73,0.0,2026-01-26 17:43:19.366996
29,1000,806,,5,229.835,0.0,2026-01-26 17:43:19.366996
38,695,699,,9,73.38,0.0,2026-01-26 17:43:19.366996
65,832,1169,,4,400.83,0.0,2026-01-26 17:43:19.366996
71,1112,584,,5,397.36,0.0,2026-01-26 17:43:19.366996
75,23,531,,8,413.64,0.0,2026-01-26 17:43:19.366996
84,426,900,,4,398.84,0.0,2026-01-26 17:43:19.366996
92,802,849,,8,93.89,0.0,2026-01-26 17:43:19.366996
115,367,32,,1,334.48,0.0,2026-01-26 17:43:19.366996
119,1134,3,,0,170.57,0.0,2026-01-26 17:43:19.366996
131,811,312,,9,157.69,0.0,2026-01-26 17:43:19.366996
136,689,946,,1,279.71,40.41,2026-01-26 17:43:19.366996
152,216,572,,5,31.71,0.0,2026-01-26 17:43:19.366996
159,1029,692,,10,112.28,0.0,2026-01-26 17:43:19.366996
177,732,480,,9,269.65,0.0,2026-01-26 17:43:19.366996
183,244,509,,5,402.31,0.0,2026-01-26 17:43:19.366996
185,1050,177,,4,478.03,0.0,2026-01-26 17:43:19.366996
190,347,19,,10,173.09,0.0,2026-01-26 17:43:19.366996
229,178,753,,2,196.98,0.0,2026-01-26 17:43:19.366996
240,1031,1191,,8,140.34,0.0,2026-01-26 17:43:19.366996
302,892,69,,10,426.16,0.0,2026-01-26 17:43:19.366996
306,939,549,,7,271.47,0.0,2026-01-26 17:43:19.366996
87,222,135,,0,255.79,0.0,2026-01-26 17:43:19.366996
361,882,1035,,10,105.15,0.0,2026-01-26 17:43:19.366996
400,738,1001,,9,462.53,0.0,2026-01-26 17:43:19.366996
420,719,220,,6,20.0,0.0,2026-01-26 17:43:19.366996
422,197,265,,2,309.02,14.77,2026-01-26 17:43:19.366996
426,681,639,,9,317.54,0.0,2026-01-26 17:43:19.366996
445,505,450,,7,432.09,0.0,2026-01-26 17:43:19.366996
450,96,209,,4,62.69,0.0,2026-01-26 17:43:19.366996
477,296,406,,8,421.35,0.0,2026-01-26 17:43:19.366996
485,910,976,,3,489.26,0.0,2026-01-26 17:43:19.366996
489,248,366,,8,276.81,0.0,2026-01-26 17:43:19.366996
506,508,882,,6,229.835,0.0,2026-01-26 17:43:19.366996
571,1154,1081,,1,229.835,0.0,2026-01-26 17:43:19.366996
588,849,523,,4,422.36,0.0,2026-01-26 17:43:19.366996
609,251,303,,10,496.42,6.08,2026-01-26 17:43:19.366996
619,82,8,,5,52.28,0.0,2026-01-26 17:43:19.366996
638,776,832,,2,263.45,0.0,2026-01-26 17:43:19.366996
650,905,597,,2,261.21,0.0,2026-01-26 17:43:19.366996
662,818,699,,9,81.94,0.0,2026-01-26 17:43:19.366996
684,959,974,,3,381.71,0.0,2026-01-26 17:43:19.366996
690,839,122,,6,57.13,0.0,2026-01-26 17:43:19.366996
694,312,395,,10,382.46,0.0,2026-01-26 17:43:19.366996
741,635,680,,3,144.89,0.0,2026-01-26 17:43:19.366996
745,47,320,,6,411.07,0.0,2026-01-26 17:43:19.366996
748,707,20,,10,410.62,0.0,2026-01-26 17:43:19.366996
756,299,276,,5,401.99,0.0,2026-01-26 17:43:19.366996
768,377,482,,7,28.36,0.0,2026-01-26 17:43:19.366996
773,416,519,,3,493.79,0.0,2026-01-26 17:43:19.366996
868,819,139,,8,222.11,20.22,2026-01-26 17:43:19.366996
897,301,144,,7,403.43,6.92,2026-01-26 17:43:19.366996
906,775,1107,,8,436.78,0.0,2026-01-26 17:43:19.366996
912,1153,941,,0,112.44,0.0,2026-01-26 17:43:19.366996
947,1160,488,,0,174.78,0.0,2026-01-26 17:43:19.366996
961,114,856,,8,274.76,7.4,2026-01-26 17:43:19.366996
975,1182,1077,,0,405.37,0.0,2026-01-26 17:43:19.366996
978,1040,468,,4,408.78,0.0,2026-01-26 17:43:19.366996
1031,184,650,,2,277.74,0.0,2026-01-26 17:43:19.366996
1048,803,915,,10,474.44,0.0,2026-01-26 17:43:19.366996
1055,213,39,,2,135.04,0.0,2026-01-26 17:43:19.366996
1065,273,675,,9,85.12,0.0,2026-01-26 17:43:19.366996
1074,1036,424,,8,229.835,0.0,2026-01-26 17:43:19.366996
1077,599,187,,8,351.95,17.28,2026-01-26 17:43:19.366996
1095,617,544,,8,439.12,0.0,2026-01-26 17:43:19.366996
1107,296,780,,10,229.835,0.0,2026-01-26 17:43:19.366996
1132,128,963,,8,46.13,0.0,2026-01-26 17:43:19.366996
1159,683,487,,6,378.11,0.0,2026-01-26 17:43:19.366996
1200,827,289,,10,136.07,0.0,2026-01-26 17:43:19.366996
1202,952,67,,7,107.56,33.91,2026-01-26 17:43:19.366996
1224,339,379,,5,229.835,0.0,2026-01-26 17:43:19.366996
1239,26,1156,,1,111.61,0.0,2026-01-26 17:43:19.366996
1247,691,341,,8,376.89,0.0,2026-01-26 17:43:19.366996
1261,319,885,,9,96.51,0.0,2026-01-26 17:43:19.366996
1345,240,101,,1,408.06,0.0,2026-01-26 17:43:19.366996
1347,278,888,,10,236.34,0.0,2026-01-26 17:43:19.366996
1403,678,814,,8,278.88,0.0,2026-01-26 17:43:19.366996
1412,426,997,,5,229.835,0.0,2026-01-26 17:43:19.366996
1457,994,468,,8,372.42,0.0,2026-01-26 17:43:19.366996
1473,627,15,,4,229.835,0.0,2026-01-26 17:43:19.366996
1477,904,278,,6,288.3,0.0,2026-01-26 17:43:19.366996
1482,1019,886,,6,242.99,0.0,2026-01-26 17:43:19.366996
1542,337,86,,6,230.91,0.0,2026-01-26 17:43:19.366996
1546,84,282,,4,405.07,0.0,2026-01-26 17:43:19.366996
1570,1108,53,,3,247.25,0.0,2026-01-26 17:43:19.366996
1579,104,772,,4,21.03,0.0,2026-01-26 17:43:19.366996
1618,1106,112,,5,497.06,0.0,2026-01-26 17:43:19.366996
1639,305,1041,,5,20.0,0.0,2026-01-26 17:43:19.366996
1665,1034,102,,8,195.48,43.27,2026-01-26 17:43:19.366996
1677,454,880,,1,281.92,32.44,2026-01-26 17:43:19.366996
1695,139,761,,7,403.98,0.0,2026-01-26 17:43:19.366996
1702,725,668,,0,229.835,0.0,2026-01-26 17:43:19.366996
1744,1095,22,,3,278.67,11.27,2026-01-26 17:43:19.366996
1747,1179,781,,0,229.835,0.0,2026-01-26 17:43:19.366996
1749,291,491,,9,229.835,0.0,2026-01-26 17:43:19.366996
1750,86,868,,2,364.69,0.0,2026-01-26 17:43:19.366996
1785,91,297,,10,450.89,0.0,2026-01-26 17:43:19.366996
1812,455,1170,,4,148.95,0.0,2026-01-26 17:43:19.366996
1843,748,556,,7,226.7,0.0,2026-01-26 17:43:19.366996
1844,1084,957,,9,369.64,30.47,2026-01-26 17:43:19.366996
1882,906,743,,2,229.835,0.0,2026-01-26 17:43:19.366996
1893,128,919,,3,87.6,0.0,2026-01-26 17:43:19.366996
1899,139,530,,10,56.99,45.93,2026-01-26 17:43:19.366996
1903,315,1088,,10,31.83,0.0,2026-01-26 17:43:19.366996
1927,412,871,,6,442.94,0.0,2026-01-26 17:43:19.366996
1941,1109,604,,6,138.45,16.24,2026-01-26 17:43:19.366996
1987,696,298,,9,286.41,34.9,2026-01-26 17:43:19.366996
2007,1200,918,,9,233.99,0.0,2026-01-26 17:43:19.366996
2031,833,256,,10,66.44,0.0,2026-01-26 17:43:19.366996
2069,81,712,,6,237.5,0.0,2026-01-26 17:43:19.366996
2080,1048,865,,8,303.22,0.0,2026-01-26 17:43:19.366996
2231,745,398,,3,262.59,34.17,2026-01-26 17:43:19.366996
2308,876,447,,5,187.05,0.0,2026-01-26 17:43:19.366996
2309,168,467,,2,102.52,0.0,2026-01-26 17:43:19.366996
2325,267,275,,7,20.0,0.0,2026-01-26 17:43:19.366996
2359,1132,840,,4,362.54,0.0,2026-01-26 17:43:19.366996
2368,820,895,,2,123.79,0.0,2026-01-26 17:43:19.366996
2393,1169,85,,7,472.28,0.0,2026-01-26 17:43:19.366996
2400,506,1171,,3,201.64,0.0,2026-01-26 17:43:19.366996
2410,457,318,,3,213.3,28.33,2026-01-26 17:43:19.366996
2419,904,1000,,2,376.75,0.0,2026-01-26 17:43:19.366996
2426,986,830,,1,174.28,0.0,2026-01-26 17:43:19.366996
2464,347,1123,,3,336.34,44.61,2026-01-26 17:43:19.366996
2498,736,897,,3,232.91,0.0,2026-01-26 17:43:19.366996
2507,949,73,,5,120.25,0.0,2026-01-26 17:43:19.366996
2589,626,388,,0,301.82,0.0,2026-01-26 17:43:19.366996
2603,1134,71,,10,229.835,0.0,2026-01-26 17:43:19.366996
2651,224,786,,7,266.74,0.0,2026-01-26 17:43:19.366996
2657,545,731,,1,137.56,0.0,2026-01-26 17:43:19.366996
2665,345,20,,10,233.58,0.0,2026-01-26 17:43:19.366996
2679,193,594,,8,462.68,17.95,2026-01-26 17:43:19.366996
2698,539,351,,8,113.1,0.0,2026-01-26 17:43:19.366996
2748,1092,1140,,3,320.78,0.0,2026-01-26 17:43:19.366996
74,487,1025,,3,216.92,0.0,2026-01-26 17:43:19.366996
2815,885,1185,,10,61.62,33.57,2026-01-26 17:43:19.366996
2842,717,541,,9,49.25,0.0,2026-01-26 17:43:19.366996
2849,186,349,,9,279.66,0.0,2026-01-26 17:43:19.366996
2875,861,649,,1,301.26,0.0,2026-01-26 17:43:19.366996
2884,686,377,,2,336.75,37.17,2026-01-26 17:43:19.366996
